42,86,2,54,34,71,51,67,75,32
7,24,66,58,28,3,58,92,38,32
12,18,52,69,34,63,61,46,57,63
99,55,93,41,89,67,21,75,82,74
35,2,13,12,97,50,71,64,16,55
18,33,67,44,72,63,12,23,62,86
48,3,91,83,86,83,84,63,41,93
70,18,86,20,13,17,5,58,19,51
8,82,66,98,80,57,9,80,91,81
59,63,83,74,81,28,24,79,78,71
64,8,80,67,13,89,59,7,21,93
23,26,9,17,48,58,90,13,44,68
15,80,68,49,29,62,74,84,50,41
49,18,90,74,85,5,13,83,65,100
68,26,90,99,52,41,21,60,34,95
7,29,50,24,7,53,26,32,21,5
46,25,32,90,37,90,38,41,19,36
17,42,72,57,78,16,33,34,37,52
6,40,85,13,68,3,55,100,69,39
49,67,71,52,59,50,79,88,61,94
16,1,37,98,77,18,55,90,54,30
74,72,94,32,90,67,52,43,55,71
37,98,14,43,75,79,33,26,46,72
23,74,44,25,90,75,57,98,35,38
12,30,76,83,68,95,29,84,49,69
51,21,84,90,11,14,70,27,58,16
9,93,11,19,66,69,43,36,66,8
39,88,65,28,95,80,62,36,27,42
87,57,19,100,25,76,27,89,81,52
16,13,85,47,61,9,53,54,13,67
71,77,59,29,32,3,93,74,23,19
11,17,69,10,24,89,8,21,33,82
48,20,17,72,82,5,97,14,54,72
18,25,7,39,75,30,28,10,75,90
18,94,40,69,77,95,66,93,94,61
80,25,29,95,54,57,92,78,91,86
59,3,95,29,5,6,24,87,24,58
16,42,94,43,19,1,38,78,17,64
65,66,92,84,30,43,19,1,66,10
37,6,43,82,37,55,34,12,71,33
70,20,42,95,33,79,73,20,91,35
89,29,18,32,96,51,13,62,94,4
93,83,95,56,56,1,49,88,45,16
85,91,42,42,35,36,86,50,89,48
83,46,42,4,65,62,3,51,9,76
11,4,86,65,21,1,70,15,63,20
46,57,60,23,9,50,43,31,38,74
86,53,81,15,58,14,77,7,64,59
63,34,85,98,98,31,97,74,2,67
41,52,99,33,50,25,88,36,28,95
33,32,47,69,76,59,100,14,9,10
98,99,59,10,27,28,27,13,100,32
53,81,30,50,44,2,61,54,11,49
12,26,96,87,84,12,64,23,48,74
48,76,20,95,11,59,4,22,96,58
82,38,72,62,97,15,53,44,55,89
37,71,78,97,61,19,22,100,15,4
78,27,37,96,15,91,93,57,62,59
28,75,4,70,69,3,41,35,39,76
88,15,91,94,46,100,19,51,50,73
75,35,34,92,56,39,19,51,92,68
89,4,23,17,22,64,50,28,5,39
24,88,60,21,89,70,49,87,3,1
37,91,57,86,49,91,25,35,56,2
65,82,21,11,65,70,85,19,64,90
27,91,23,14,27,49,58,38,17,23
78,71,72,61,49,19,47,72,1,86
89,97,65,93,91,66,15,23,54,83
30,14,1,4,43,7,82,41,61,12
66,66,80,79,15,67,89,22,42,72
49,23,88,52,64,91,8,17,21,99
88,31,82,4,15,22,11,6,35,49
94,31,13,20,59,84,33,66,91,53
25,69,94,39,64,51,42,97,8,58
21,88,52,34,39,41,49,87,56,22
25,84,97,37,45,12,18,6,37,15
11,98,42,80,37,47,56,79,88,72
82,85,43,75,34,2,27,46,68,42
48,4,2,34,56,64,73,82,14,8
93,35,52,38,80,31,4,95,21,40
42,68,8,25,25,49,50,97,73,6
30,81,78,71,65,64,93,72,95,82
41,66,71,28,96,85,9,27,35,94
87,81,62,47,2,88,95,86,62,20
60,39,49,23,69,94,54,65,52,47
85,40,18,82,6,83,47,70,9,98
53,85,16,67,40,26,41,95,72,43
96,89,79,34,100,94,95,78,19,97
88,87,93,6,54,43,48,42,55,92
73,11,17,68,36,98,36,38,16,8
58,13,36,83,73,100,6,98,33,81
57,76,13,36,63,90,39,60,30,46
83,2,62,78,94,1,24,96,18,35
44,8,1,55,50,79,35,53,47,63
75,66,86,33,100,57,37,5,24,72
94,15,95,100,19,51,38,90,86,59
94,79,87,74,97,17,40,33,46,81
97,51,1,96,25,5,55,9,49,66
100,64,46,64,85,68,53,82,31,6
58,32,98,54,22,89,20,38,34,83
